,feature,median,fold0,fold1,fold2,fold3,fold4
183,min_roll_mean_1000,139.44312477111816,292.9669952392578,118.84700012207031,173.59500122070312,0.0,0.0
134,av_change_rate_roll_std_10,134.55599975585938,132.8090057373047,0.0,158.78500366210938,164.02999877929688,136.30299377441406
63,kurtosis_first_50000,124.9530029296875,130.51600646972656,124.9530029296875,0.0,190.26600646972656,0.0
78,mean_change_rate_last_10000,124.60700225830078,124.60700225830078,129.29800415039062,0.0,287.4870147705078,0.0
177,av_change_abs_roll_std_1000,122.72200012207031,193.0780029296875,122.72200012207031,0.0,150.26699829101562,0.0
44,std_last_50000,120.6240005493164,0.0,120.6240005493164,370.6129913330078,202.0919952392578,0.0
88,Rmean_last_15000,105.20375061035156,155.17599487304688,0.0,116.54499816894531,0.0,113.34100341796875
45,std_first_10000,103.17224884033203,0.0,167.12899780273438,315.5790100097656,0.0,122.77999877929688
166,av_change_abs_roll_mean_100,78.4885025024414,156.9770050048828,186.76800537109375,0.0,0.0,0.0
188,av_change_abs_roll_mean_1000,65.93399810791016,0.0,131.8679962158203,0.0,494.13800048828125,149.6510009765625
143,q99_roll_mean_10,64.36225128173828,0.0,288.43800354003906,257.4490051269531,0.0,0.0
93,Rmin_last_5000,56.446998596191406,294.98899841308594,112.89399719238281,0.0,0.0,0.0
180,ave_roll_mean_1000,31.405000686645508,0.0,341.6239929199219,125.62000274658203,0.0,0.0
118,MA_400MA_BB_low_mean,29.977249145507812,0.0,119.90899658203125,135.8260040283203,0.0,0.0
179,abs_max_roll_std_1000,29.96649932861328,0.0,119.86599731445312,133.46200561523438,0.0,0.0
98,Istd_last_15000,29.465749740600586,0.0,117.86299896240234,265.75,0.0,0.0
79,Rmean,27.77199935913086,0.0,111.08799743652344,276.7889938354492,0.0,0.0
8,median,27.072750091552734,0.0,167.7550048828125,108.29100036621094,0.0,0.0
187,q99_roll_mean_1000,16.878250122070312,135.0260009765625,0.0,0.0,161.92599487304688,0.0
103,trend,15.348999977111816,122.79199981689453,0.0,0.0,334.5449981689453,0.0
23,q999,0.0,140.35400390625,0.0,0.0,0.0,208.73199462890625
40,avg_last_50000,0.0,471.48199462890625,0.0,0.0,0.0,0.0
65,kurtosis_first_10000,0.0,344.43299865722656,0.0,0.0,0.0,0.0
138,max_roll_mean_10,0.0,336.60499572753906,0.0,0.0,0.0,0.0
55,sum_first_50000,0.0,323.9079895019531,0.0,0.0,0.0,0.0
