,feature,median,fold0,fold1,fold2,fold3,fold4
63,Rmin_last_5000,89433.62044143677,89433.62044143677,149400.2765007019,30947.484018325806,3812.9303855895996,91211.53058767319
65,trend,77964.84755778313,70242.28485107422,147214.2349243164,101132.53567790985,2257.8190994262695,14904.468264579773
125,q05_roll_mean_100,72718.02983283997,45685.175201416016,112363.48362922668,81728.98137664795,21787.81472015381,84068.74303650856
135,q01_roll_std_1000,72333.30783486366,66925.4330406189,88556.93221759796,102066.02460479736,4524.476696014404,37994.97092247009
140,av_change_rate_roll_std_1000,69920.06064677238,23726.979457855225,107715.60853767395,85317.75437641144,20789.081565856934,98609.95024085045
55,Imax,63604.49524998665,24919.301788330078,76499.5597372055,87499.74875688553,112.4260025024414,79833.46434783936
146,q01_roll_mean_1000,61159.952056884766,74861.79754257202,61159.952056884766,8789.179509162903,16286.003971099854,140018.01149439812
119,abs_max_roll_std_100,60789.4383033514,839.1432876586914,98550.07849121094,84213.43795776367,19378.157176971436,79052.58598399162
77,exp_Moving_average_30000_mean,60753.08193433285,11132.989002227783,82374.80835437775,77293.1129117012,12558.560089111328,85476.45283865929
104,q95_roll_mean_10,60422.49231481552,35522.53439331055,78816.36240768433,68722.47828865051,738.0399017333984,111863.5281419754
127,q99_roll_mean_100,57389.947701931,74143.50342559814,14964.59093952179,67293.21259212494,4706.020511627197,62597.413251399994
144,max_roll_mean_1000,56105.982889175415,74907.39448928833,105425.66674900055,14421.880041122437,37304.5712890625,7758.589147806168
75,exp_Moving_average_300_mean,55971.24008619785,5563.221393585205,2116081.1013422012,146513.97956562042,6141.911911010742,35903.87969279289
32,avg_last_10000,55788.76008796692,72057.93371582031,55788.76008796692,17249.756357192993,9184.172618865967,113885.88623523712
151,av_change_rate_roll_mean_1000,54190.98861122131,4553.600299835205,80758.2202758789,66023.73487091064,42358.24235153198,76077.01017069817
96,av_change_rate_roll_std_10,52282.809967279434,25894.810554504395,283210.79004859924,67233.52864837646,25751.79349899292,58001.45033311844
20,q05,51014.84631001949,296.0331039428711,113644.43501663208,67921.1173787117,25413.62481689453,113582.61630034447
30,avg_last_50000,50797.06702852249,58053.79088973999,3796.823513031006,67308.40241909027,18109.113498687744,130267.50812840462
74,Moving_average_6000_mean,50104.603439331055,9973.107807159424,31523.89082145691,68685.3160572052,4620367.503829956,95830.16553115845
22,q001,49917.141624212265,4685.378288269043,112558.37297344208,72234.3731212616,15530.68729019165,61374.40754365921
143,std_roll_mean_1000,49833.63300025463,62965.524616241455,0.0,55950.5898976326,25240.808727264404,117647.41089725494
29,avg_first_50000,49315.74532413483,56360.85179901123,1321.693603515625,101068.80279111862,10965.72836303711,85794.01769828796
8,median,49184.18757748604,0.0,99437.73111343384,65578.91676998138,26158.9204788208,125388.26213359833
117,av_change_abs_roll_std_100,48564.419563531876,53133.85185241699,58160.583621025085,43994.98727464676,0.0,24640.921749591827
34,std_last_50000,48461.75433397293,22645.720767974854,103415.52561759949,57067.09885597229,20761.750061035156,65303.714535951614
58,Rmean_last_15000,48452.25807094574,55374.00922393799,1940.9495029449463,113236.54307556152,22457.69371032715,95839.34096217155
61,Rmax_last_5000,48433.23026561737,55352.26316070557,17443.661198616028,98146.96842813492,19935.455123901367,64021.25426578522
141,abs_max_roll_std_1000,46991.47690308094,1504.1405067443848,169439.33849716187,141087.78527069092,0.0,22686.99091744423
126,q95_roll_mean_100,46701.66922569275,53373.33625793457,12743.912160873413,62762.604325294495,35573.017597198486,64795.27752828598
90,min_roll_std_10,46468.45350563526,31247.099380493164,148559.36335277557,51542.23821401596,14444.383201599121,70840.79491519928
109,ave_roll_std_100,46421.74387168884,2430.495502471924,61085.49332809448,116748.38000202179,18162.029289245605,82271.29000115395
51,Rmax,46370.175592303276,415.90260314941406,107887.17414951324,61688.2665886879,2399.168315887451,107809.20669603348
45,mean_change_rate_first_50000,45327.646605968475,51803.0246925354,6837.607384681702,55205.054368019104,8986.235473632812,153634.55615401268
95,av_change_abs_roll_std_10,45051.72554707527,29040.69256591797,63963.50214576721,50388.73654079437,19506.00546646118,128667.6463830471
69,classic_sta_lta3_mean,45027.06378185749,33172.94574737549,122968.19474124908,48978.43646001816,10453.701999664307,78490.85041451454
35,std_first_10000,44470.36270904541,44470.36270904541,136725.91328811646,427.46560287475586,33378.074909210205,63419.78770899773
15,max_to_min_diff,42381.06509244442,21639.21548461914,121129.09221935272,49295.01496171951,24682.270484924316,278996.20096707344
134,min_roll_std_1000,41860.89934921265,41860.89934921265,142844.85043239594,15672.496824264526,8907.347721099854,101278.93239450455
14,max_to_min,41717.295419216156,44643.515033721924,97985.47882652283,38791.07580471039,33126.01791763306,0.0
