,feature,median,fold0,fold1,fold2,fold3,fold4
26,q05,199037.4998421669,1060.0282955169678,726334.5957107544,914306.0980091095,31814.25500869751,34377.68768119812
136,ave_roll_mean_10,82078.34076976776,120.98589897155762,85275.37453746796,105695.55389404297,82078.34076976776,4119.863194465637
32,abs_q99,80186.8679819107,4755.813606262207,80186.8679819107,90020.92757415771,89035.23113536835,12641.962575912476
8,median,79928.2667503357,210.61119842529297,104960.49782180786,84177.25987625122,75821.86949157715,84034.66400909424
133,av_change_abs_roll_std_10,79081.08409976959,73938.59087085724,79081.08409976959,96461.597032547,88840.97496414185,23409.429697990417
51,min_first_50000,75455.25908327103,51064.4282875061,129144.72244644165,0.0,99846.08987903595,100495.7533569336
25,q95,74246.15518379211,1131.405595779419,79760.88806247711,104237.33714485168,74246.15518379211,13.292400360107422
108,classic_sta_lta4_mean,71726.3208436966,71726.3208436966,103042.51027107239,274.6071033477783,70.92880249023438,91183.15659999847
128,min_roll_std_10,71569.75829792023,71569.75829792023,91217.65278244019,53662.298374176025,90344.32208156586,45026.82246685028
95,Imean_last_5000,70524.46399497986,70524.46399497986,40496.23268985748,70876.24373435974,73504.898021698,9718.353839874268
22,count_big,69775.82986450195,37.35139846801758,116950.27880477905,69775.82986450195,85980.45367908478,15110.053272247314
91,Rmax_last_5000,68007.15568137169,111508.8879776001,18654.33166408539,451.1887969970703,98809.92353630066,101312.4987001419
66,kurtosis_last_10000,67060.82565975189,76640.94361114502,62.588897705078125,125030.9259147644,30530.74279499054,111490.23174476624
182,max_roll_mean_1000,66224.97447371483,92391.66305732727,1950.9031133651733,33920.74025154114,118911.91229820251,103228.5006608963
77,mean_change_rate_first_10000,63621.106753349304,124897.1386013031,113262.44596290588,13979.767543792725,2467.7956924438477,7553.995506286621
75,mean_change_rate_first_50000,61943.14286649227,87794.11468029022,1187.4477014541626,28287.28476524353,92678.65697288513,100503.81613063812
21,max_to_min_diff,61434.851616859436,44219.858629226685,78649.84460449219,36216.69595336914,79394.30662536621,124942.28913593292
187,q99_roll_mean_1000,60544.65075159073,79064.09908676147,5904.997104644775,45409.04548454285,96798.11465549469,75680.25601863861
0,mean,59587.643006801605,30577.347368240356,61775.70161151886,75012.07394981384,57399.58440208435,64839.956809043884
38,abs_ave10,59539.75422990322,108999.21569728851,4032.339496612549,82501.42703437805,50578.99101829529,0.0
184,q01_roll_mean_1000,59265.21070098877,71516.07575798035,38297.795910835266,59265.21070098877,66769.73810482025,1979.5396919250488
129,q01_roll_std_10,58356.69380426407,123199.00600242615,87318.61198234558,14013.072708129883,17329.791799545288,29394.775626182556
145,av_change_rate_roll_mean_10,57564.81432557106,46878.2464723587,92727.55123615265,89624.51788520813,8539.50918674469,5021.292404174805
10,abs_mean,56118.11716270447,46888.492270469666,84179.91790866852,63986.45301246643,56118.11716270447,17125.876405715942
81,Rmax,55793.4014043808,52.996299743652344,65110.09924983978,60733.51198387146,50853.29082489014,112374.085978508
68,skew_last_50000,55476.404537677765,97790.73336219788,82606.07938098907,16304.918809890747,28346.729694366455,22337.01483440399
43,std_first_50000,54243.78209686279,35080.79581737518,76625.54365730286,24292.596214294434,73406.7683763504,189141.47171497345
46,std_last_10000,54181.03771543503,35770.17296600342,81797.27437591553,87813.16926574707,22970.851590156555,49578.35175991058
131,q95_roll_std_10,53912.213774204254,41721.36146354675,12801.847661018372,67513.72827339172,66103.06608486176,83715.2952709198
96,Imean_last_15000,53893.922216534615,102854.46318149567,36521.36501121521,3073.5428047180176,63813.54613208771,148195.2739095688
47,max_first_50000,53618.912185668945,40818.35668754578,143223.9480009079,61215.6551322937,53618.912185668945,11107.775107383728
