,feature,median,fold0,fold1
4,sum,2225.436809539795,2225.436809539795,31251.32155227661
5,mad,2205.5097122192383,2205.5097122192383,86216.86495876312
71,Moving_average_700_mean,2164.7297019958496,2164.7297019958496,41349.221841812134
23,iqr,2084.930097579956,2162.5955772399902,2084.930097579956
100,max_roll_mean_10,1936.5409927368164,1936.5409927368164,97913.0714302063
103,q05_roll_mean_10,1894.9347076416016,1894.9347076416016,66565.02417755127
12,abs_max,1520.2111015319824,1520.2111015319824,45651.36472320557
84,MA_1000MA_std_mean,1252.7988929748535,1252.7988929748535,26003.98338699341
108,abs_max_roll_mean_10,1158.979591369629,1158.979591369629,47956.6501121521
78,MA_400MA_std_mean,1156.6820945739746,1156.6820945739746,137180.11051177979
132,std_roll_std_1000,1138.9431953430176,1138.9431953430176,127751.07423782349
25,abs_q99,970.2005977630615,1940.401195526123,522.9754981994629
1,std,939.7186965942383,939.7186965942383,115797.34679031372
110,std_roll_std_100,917.2248992919922,917.2248992919922,50366.80077934265
64,Rmin_last_15000,897.2142028808594,897.2142028808594,11298.564002990723
60,Rstd_last_15000,854.7832946777344,854.7832946777344,1096.4982051849365
54,Istd,783.1050071716309,783.1050071716309,11819.269104003906
11,abs_std,738.4960021972656,738.4960021972656,31891.067790985107
26,abs_q95,713.1396102905273,713.1396102905273,94530.71932220459
81,MA_700MA_std_mean,709.4146957397461,709.4146957397461,140058.92880249023
109,ave_roll_std_100,690.1198997497559,690.1198997497559,722711.6892309189
119,abs_max_roll_std_100,669.4625015258789,669.4625015258789,73811.69346237183
141,abs_max_roll_std_1000,619.8282928466797,619.8282928466797,48819.1418466568
21,q01,570.7922973632812,570.7922973632812,57896.16181182861
130,abs_max_roll_mean_100,536.6914978027344,536.6914978027344,48870.787059783936
51,Rmax,369.1810073852539,369.1810073852539,2786.537899017334
18,q99,310.5727958679199,310.5727958679199,1228.9894905090332
142,ave_roll_mean_1000,135.46800231933594,135.46800231933594,98863.94794654846
131,ave_roll_std_1000,89.49739837646484,89.49739837646484,90631.73380851746
97,abs_max_roll_std_10,74.39240264892578,74.39240264892578,64882.67335319519
27,abs_q05,60.05929946899414,60.05929946899414,89993.11523628235
86,Hann_window_mean,57.544498443603516,57.544498443603516,84463.29340839386
20,q05,57.54100036621094,57.54100036621094,112829.39220237732
98,ave_roll_mean_10,56.364601135253906,56.364601135253906,90687.8695678711
8,median,0.0,0.0,73461.4833946228
28,abs_q01,0.0,0.0,25602.27763748169
16,count_big,0.0,0.0,8178.051837921143
