,feature,median,fold0,fold1,fold2,fold3,fold4
81,Rmax,208781.60167098045,182.57059478759766,712993.9859266281,1761804.5046567917,2106.832706451416,60974.92508125305
18,abs_median,59079.54097223282,0.0,84385.06822395325,78772.72129631042,383.60599517822266,80327.98105621338
58,sum_last_10000,46228.08551692963,2863.90242767334,6910117.6931324005,173769.3892288208,992.3613166809082,4139.525205612183
129,q01_roll_std_10,45837.94354104996,52545.404079437256,43602.123361587524,60596.133335113525,26092.75735092163,8649.703119277954
87,Rmean_last_5000,44665.606081962585,10156.971603393555,59173.82225513458,56168.484241485596,665.9712905883789,80429.62800693512
145,av_change_rate_roll_mean_10,38981.77028775215,8928.762378692627,135824.50002479553,59481.6001367569,1503.9666023254395,43758.35931777954
182,max_roll_mean_1000,37738.78686475754,56429.2105140686,99121.27140522003,9874.963903427124,1902.3818130493164,19048.363215446472
34,abs_q05,36686.31032419205,0.0,75165.28067398071,25284.964000701904,52731.51406097412,48087.65664768219
30,ave10,33396.23371076584,6453.758113861084,192879.52787208557,97472.60414886475,870.3750953674316,14829.286290168762
97,Istd_last_5000,33204.049929618835,62291.171573638916,20007.60688972473,61655.40015220642,0.0,5881.249980926514
165,q99_roll_mean_100,32955.13129615784,49875.61133956909,41683.930090904236,20.84510040283203,9390.824489593506,24226.332501411438
52,min_last_50000,32579.086188316345,5939.799785614014,54048.052664756775,44540.986459732056,356.9689025878906,39917.779253959656
53,min_first_10000,28041.857785224915,6580.658958435059,85207.7815914154,36631.65701293945,559.132396697998,34477.55758476257
67,skew_first_50000,26231.049182891846,13701.685161590576,26231.049182891846,49275.01684761047,31132.97275161743,362.0023994445801
176,q99_roll_std_1000,25402.68774175644,5941.887977600098,45778.832916259766,31889.62099647522,3350.9940032958984,53653.915499687195
135,abs_max_roll_std_10,24402.62295818329,67.5199966430664,51484.523136138916,34808.80108642578,7073.515785217285,31367.085374832153
44,std_last_50000,23981.95038461685,5385.0097007751465,48951.85204410553,30180.930612564087,5085.224395751953,42716.96938705444
171,max_roll_std_1000,23944.092031240463,5412.240123748779,63580.69253826141,30121.376000404358,11393.487674713135,35535.76910686493
17,abs_skew,23617.804775476456,9596.532508850098,92343.88673877716,28291.56219768524,3613.085910797119,39969.17238330841
35,abs_q01,23533.26353931427,0.0,55612.08376502991,31377.684719085693,8249.278800964355,53732.986201286316
71,median_first_50000,23358.961007595062,119.0181999206543,62628.7883605957,31105.6086101532,3065.94091796875,60190.62473964691
154,q99_roll_std_100,23054.947422027588,7593.719917297363,74578.22563743591,52679.56620788574,83.82620239257812,15973.251781463623
113,exp_Moving_average_300_mean,23045.189340114594,3036.99267578125,114224.18853759766,29714.588228225708,6975.710800170898,63663.79152965546
65,kurtosis_first_10000,22963.640777111053,27018.676151275635,42843.90132522583,2302.3699989318848,0.0,18908.605402946472
167,av_change_rate_roll_mean_100,22890.400680541992,9386.08349609375,50033.03965759277,52548.54540538788,16071.239784240723,5977.316307067871
83,Imean,22712.86901330948,25957.564586639404,9276.43720626831,33375.935024261475,16744.933952331543,32014.707228660583
84,Istd,22630.391122341156,571.4226036071777,40246.110080718994,29983.380628585815,0.0,50949.00662136078
2,max,22152.03776693344,2582.3009757995605,50036.38298225403,31927.89071083069,2440.5192794799805,27048.979690551758
11,abs_std,22076.827475309372,859.3492164611816,60584.39943695068,52122.01209163666,576.9036064147949,17662.974296569824
85,Imax,22043.04603290558,6573.4156494140625,98545.95092010498,42508.56604766846,1692.1830101013184,19545.101217269897
89,Rstd_last_5000,21648.204268455505,24740.804878234863,1321.2597122192383,30677.36203956604,4341.489406585693,69422.10616397858
138,max_roll_mean_10,21643.327374458313,1454.792724609375,2167955.1300354004,28372.83892440796,9938.666515350342,57771.94873428345
40,avg_last_50000,21479.51109790802,31068.959869384766,25971.25213623047,0.0,263.5929985046387,16987.77005958557
155,av_change_abs_roll_std_100,21408.149564743042,29931.27420425415,91597.75999450684,12885.024925231934,2564.0932006835938,0.0
91,Rmax_last_5000,21182.779997825623,25094.12385559082,469.2928981781006,24061.352687835693,5401.118724822998,28873.6305103302
39,avg_first_50000,21092.068259716034,39762.16106033325,12362.515724182129,52245.274141311646,10863.512302398682,5924.972120285034
49,max_first_10000,20996.565933704376,7836.099384307861,25383.388116836548,50578.25311374664,11057.734703063965,37651.40703582764
82,Rmin,20765.772032737732,6148.085903167725,36541.8441696167,25638.334075927734,11439.44639968872,68800.2906742096
157,abs_max_roll_std_100,20747.573799610138,212.34669494628906,76051.47332191467,78894.564868927,3363.237590789795,0.0
22,count_big,19883.88231277466,0.0,100509.48492240906,12522.649311065674,27245.115314483643,154030.319606781
61,mad_first_10000,19771.862065792084,7164.2279052734375,89595.53538322449,23974.406785964966,0.0,106004.92123222351
170,std_roll_std_1000,19770.305708408356,1288.747299194336,25930.825178146362,1456886.6227779388,8399.698211669922,42109.79975986481
10,abs_mean,19583.006605148315,11026.349594116211,33722.65718841553,20615.85662841797,18550.156581878662,31944.22998714447
164,q95_roll_mean_100,19562.197494506836,47124.756912231445,15990.518522262573,2669.008804321289,19562.197494506836,103630.43533611298
9,mean_change_rate,19331.27581834793,10332.100887298584,125091.33974838257,22331.00079536438,4378.380100250244,55517.078605651855
95,Imean_last_5000,18522.577075481415,10899.580795288086,45694.81995201111,19433.741499900818,17611.41265106201,21488.9580783844
169,ave_roll_std_1000,18513.86095714569,97.34910202026367,41785.653864860535,24652.6982421875,3414.4784088134766,65306.38178253174
27,q01,18347.01150894165,210.83480072021484,136103.22151184082,60972.51245307922,749.344898223877,6102.3493909835815
75,mean_change_rate_first_50000,18238.862747192383,18238.862747192383,21226.473783493042,0.0,1885.1481971740723,28988.148894309998
