,feature,median,fold0,fold1,fold2,fold3,fold4
411,abs_q05_4,125934.33660626411,1291029.0212860107,186347.0108013153,65521.66241121292,58997.073822021484,24844.57923221588
826,q05_roll_std_100,86039.49907708168,302493.76960372925,63395.60702419281,108683.39112997055,21295.41721343994,14337.381366729736
804,q05_roll_std_10,38164.075717926025,3546631.283054352,38164.075717926025,32663.279916763306,6586.5280113220215,159341.67830848694
102,avg_first_10000_0,28102.661979675293,28102.661979675293,34202.71598815918,19720.012409210205,1827.3899955749512,45636.43086910248
848,q05_roll_std_1000,24835.250491142273,270658.7506904602,25517.227291107178,24153.273691177368,815.1273994445801,15837.433033943176
440,iqr_4,22455.980845451355,198169.7584991455,35470.82458591461,9441.137104988098,7205.097305297852,9045.168717384338
856,max_roll_mean_1000,21002.495559692383,46844.55353927612,26692.13227367401,5820.929681777954,1526.031105041504,15312.858845710754
858,q01_roll_mean_1000,20417.508261442184,46143.92459869385,27735.298495292664,13099.718027591705,531.3610076904297,7100.952441215515
549,q05_6,20050.067025899887,2028856.2041511536,26323.918508529663,13776.215543270111,2862.082405090332,13665.634621620178
366,MA_400MA_BB_high_mean_3,18995.629707217216,0.0,54810.840702056885,35358.06945180893,5732.520267486572,20312.22468852997
803,q01_roll_std_10,17457.751319885254,18202.491596221924,17457.751319885254,10940.233126163483,4069.012180328369,33883.46045970917
787,exp_Moving_average_30000_mean_9,16914.513257741928,304.5625991821289,30487.36095046997,22954.016171455383,2504.999912261963,22199.7371301651
462,min_first_10000_5,16842.816856622696,1997.317398071289,21791.31667613983,746827.3798131943,2455.197998046875,24658.702593803406
263,q95_2,16121.797927379608,27454.746459960938,24606.765948295593,3621.088806629181,1278.2246208190918,7636.829906463623
145,Moving_average_6000_mean_0,15663.219525575638,13558.593566894531,16364.761511802673,18582.953700065613,1161.4974060058594,18919.65021800995
825,q01_roll_std_100,15541.768164873123,60119.003913879395,4910.904278755188,18381.228042125702,216.2483024597168,12702.308287620544
839,q99_roll_mean_100,15025.260665893555,15025.260665893555,34172.36549568176,14105.44101524353,2026.1218872070312,16390.023483276367
622,abs_q95_7,14941.773926734924,18565.986652374268,14941.773926734924,13110.006064891815,958.9892997741699,15452.349044799805
17,FFT_Phz_std2500,14910.44770693779,9472.114025115967,54645.54069232941,31225.44875240326,514.881103515625,3388.719150543213
282,classic_sta_lta3_mean_2,14872.916261911392,3455.20121383667,18298.878777503967,13462.26751756668,16283.565006256104,26333.5422372818
203,abs_std_1,14828.941131591797,307.1487007141113,19669.538608551025,32359.85580253601,9635.830478668213,26398.557702064514
197,abs_q99_1,14820.322006702423,13293.905254364014,32772.66906070709,18726.867988586426,62.491600036621094,13630.257391929626
459,avg_last_10000_5,14467.591591119766,19090.445468902588,6520.1654052734375,18966.46444416046,3313.475200653076,14679.339592933655
331,mean_change_rate_last_50000_3,13993.991618156433,0.0,28502.880431175232,12320.261246681213,16151.661582946777,15667.721989631653
547,q95_6,13844.987002372742,281776.38132476807,13844.987002372742,9357.098996162415,1513.4486045837402,28099.97453403473
593,abs_min_7,13824.70606136322,4501.322570800781,36923.57465553284,4088.849123477936,396924.1923751831,23148.08955192566
530,avg_last_10000_6,13794.906146764755,11446.552322387695,15834.526141166687,14577.690754890442,2647.890079498291,17500.796590805054
266,q01_2,13665.316537618637,12217.694610595703,18008.18231868744,18567.867338180542,1579.2255973815918,6224.646390914917
630,mad_7,13633.145717382431,306.12910079956055,18075.48458957672,21521.340678691864,0.0,58377.36274433136
506,MA_700MA_BB_low_mean_5,13557.525308966637,309.06839752197266,48458.23093509674,35093.69334745407,1372.0030059814453,9413.669745445251
783,Moving_average_3000_mean_9,13549.87883758545,19305.58321762085,13549.87883758545,10212.07078742981,10333.22318649292,18573.73531627655
824,min_roll_std_100,13448.3289000988,12060.492603302002,34652.463335990906,13910.940999031067,2971.7949867248535,22971.050998687744
4,FFT_Mag_mean0,13202.610944151878,35824.92335510254,1288.998309135437,8986.303653240204,14492.4058303833,12955.83922290802
580,MA_400MA_BB_low_mean_6,13083.953125238419,313.71889877319336,30587.23318386078,15367.049850940704,10800.856399536133,27452.150424957275
143,Moving_average_1500_mean_0,13066.1450445652,16734.848083496094,11169.640526771545,13698.313217163086,4790.534595489502,14574.350873947144
322,max_first_50000_3,13047.864755630493,2279.9672927856445,16637.16390991211,995993.1619610786,276.7642059326172,26338.50152873993
785,exp_Moving_average_300_mean_9,12980.47592163086,12980.47592163086,15691.954248428345,2760.8037214279175,1906.3454818725586,20537.67202281952
126,abs_q05_0,12902.406396865845,276.44810485839844,20743.39789867401,12902.406396865845,15281.048683166504,9133.584643363953
838,q95_roll_mean_100,12879.956043958664,33103.580493927,8031.400002479553,2035.2618560791016,13468.3169631958,19136.120371818542
726,q001_8,12863.139150381088,14307.170204162598,8531.04598903656,16728.023091316223,3673.9439964294434,24651.21947002411
618,q95_7,12775.504936218262,21283.36254119873,24305.45446395874,2074.700672149658,142.17849731445312,4267.647331237793
608,max_first_10000_7,12589.866542816162,13045.860527038574,42654.49621772766,1609.5017380714417,6217.078952789307,12133.87255859375
422,classic_sta_lta1_mean_4,12505.393951058388,19202.724243164062,2059.9959993362427,17841.747911930084,733.0275955200195,11289.232885360718
712,Moving_average_3000_mean_8,12389.586443662643,5122.394454956055,14811.983773231506,20332.81388092041,2269.8439979553223,26956.487243652344
747,min_last_10000_9,12365.047676086426,12365.047676086426,33150.8039894104,9109.969950199127,6488.709224700928,19423.769068717957
624,abs_q05_7,12344.115985155106,19512.345100402832,6330.4498863220215,11586.400686740875,13101.831283569336,55597.0844078064
554,abs_q01_6,12186.720489501953,31070.86555480957,16968.556072235107,2054.9001088142395,7404.884906768799,6892.760827064514
776,Hilbert_mean_9,12123.218759298325,5443.689010620117,26274.60583591461,42241.22529602051,465.83780670166016,8387.290095329285
444,mean_5,12018.878222942352,34928.90413284302,11805.322761535645,12018.878222942352,553.5569953918457,17896.705374717712
438,MA_400MA_BB_low_mean_4,11971.683513641357,524.3061943054199,17741.55414390564,17523.23716402054,11971.683513641357,11912.688458442688
482,abs_q05_5,11943.254256010056,810881.9161148071,11392.341683387756,12494.166828632355,1438.4695854187012,5944.971838951111
369,iqr_3,11703.029899597168,11703.029899597168,20071.880179405212,5190.309417247772,4846.491989135742,21675.953804969788
101,avg_last_50000_0,11659.755967140198,20048.93613433838,28361.83510017395,1309.8329248428345,653.5746078491211,3270.5757999420166
396,max_last_10000_4,11581.319100141525,978.1889953613281,15970.012986183167,73241.5830526352,1037.041805267334,14688.537209510803
303,std_3,11570.854175567627,587.1365051269531,15232.093399047852,17273.09084367752,2697.7122077941895,29495.126006126404
657,mean_8,11540.237616539001,6533.7181968688965,13209.077423095703,24696.664657592773,893.4061088562012,23090.029760360718
16,FFT_Phz_mean2500,11537.608595848083,18134.340572357178,11537.608595848083,4124.3289041519165,6033.883636474609,21251.519560813904
458,avg_first_10000_5,11521.698077201843,11658.087326049805,13491.31140422821,5756.211268424988,76.74649810791016,11385.308828353882
491,med_5,11478.799447774887,14796.147563934326,16933.426189422607,8161.451331615448,3163.227210998535,4054.24929523468
849,q95_roll_std_1000,11457.453927755356,15898.611255645752,39608.77731132507,7016.29659986496,426.44190979003906,2374.4004793167114
103,avg_last_10000_0,11416.609181642532,22668.26407623291,8480.701747894287,17370.9011926651,973.9086036682129,2509.32240486145
497,Moving_average_700_mean_5,11387.339051246643,16703.54252243042,21828.491456985474,3234.6991024017334,3356.2863960266113,6071.135580062866
505,MA_700MA_BB_high_mean_5,11374.122616767883,0.0,17901.85389328003,36212.675350666046,0.0,13797.318286895752
724,iqr_8,11373.412588715553,8426.782207489014,35057.00779533386,20213.303732395172,5573.073230743408,7640.870281219482
836,q01_roll_mean_100,11349.85585385561,19590.17834854126,10015.338294029236,11794.695040464401,0.0,14566.002126693726
74,FFT_Rmax,11343.745748519897,2876.6430015563965,15521.829137802124,14166.113330841064,1315.2782135009766,17151.50676727295
244,avg_last_50000_2,11339.403069734573,18430.644233703613,37986.44103908539,4248.161905765533,712.361701965332,1552.073706626892
859,q05_roll_mean_1000,11294.744891524315,19738.184215545654,11227.004522323608,11497.965999126434,2275.4176025390625,4440.751450538635
43,FFT_Phz_mean10000,11247.366603851318,13070.113048553467,14203.498096466064,9424.62015914917,2042.3720092773438,2278.06139087677
285,Moving_average_1500_mean_2,11163.058316230774,13811.428596496582,31272.05044555664,5726.1991147994995,2072.2540016174316,8514.688035964966
418,kurt_4,11113.937301158905,1785.4540901184082,15137.10334777832,534964.7699685097,1995.1144065856934,13766.595883369446
860,q95_roll_mean_1000,11085.105960845947,163661.24868011475,6739.3806076049805,11085.105960845947,1448.6065864562988,15927.739124298096
621,q01_7,10996.942342758179,23080.737281799316,2827.1853008270264,4767.093944549561,13840.153392791748,16849.736941337585
389,min_first_50000_4,10973.997843265533,1532.2104949951172,17548.21856880188,24296.923769950867,1260.4591827392578,12407.781154632568
711,Moving_average_1500_mean_8,10970.932928919792,14998.094814300537,10568.873001098633,12177.11271238327,81.85710144042969,829.137598991394
380,abs_min_4,10877.431739211082,4590.931690216064,18919.36630630493,12972.931755542755,207.19969940185547,13110.780782699585
578,MA_400MA_std_mean_6,10853.475038528442,1481.4302024841309,19040.205357551575,10853.475038528442,20762.856964111328,7101.385315895081
837,q05_roll_mean_100,10809.144602775574,26508.3092918396,6432.636995315552,13215.901136398315,2648.2072944641113,8402.388069152832
169,std_last_50000_1,10670.591165542603,2807.5498085021973,44765.435534477234,10670.591165542603,12972.639408111572,54.266998291015625
686,mean_change_rate_last_50000_8,10670.10961985588,0.0,23363.306524276733,10738.334477901459,10601.884761810303,66132.7200345993
251,max_first_50000_2,10657.92040526867,6617.2099685668945,46777.29053783417,18963.564630031586,3828.417381286621,8525.453511238098
66,FFT_Mag_99q17500,10566.351615428925,11343.908786773682,45907.21731376648,9788.794444084167,89.25530242919922,6504.667905807495
625,abs_q01_7,10517.467098474503,10637.28290939331,24482.94274520874,10397.651287555695,845.1846122741699,880.1997032165527
65,FFT_Mag_90q17500,10402.60850429535,10143.893013000488,12199.140801429749,11178.754978179932,88.48380279541016,748.0685930252075
85,FFT_Rstd_first_18000,10361.46921300888,0.0,15836.48523235321,13815.29228401184,749.1009941101074,17903.126997947693
305,min_3,10354.770851373672,1343.7445907592773,17827.888555526733,17789.871529579163,0.0,11142.733642578125
421,Hilbert_mean_4,10342.442415952682,0.0,27133.601536750793,28270.724762439728,4215.786617279053,7118.084063529968
857,min_roll_mean_1000,10328.107590198517,18876.95672607422,13745.256686210632,6910.958494186401,2212.0037002563477,3950.0482473373413
179,min_last_10000_1,10307.189156532288,5327.05867767334,21270.26256942749,27674.143619060516,977.1701049804688,7315.71768951416
130,abs_mean_0,10302.060997486115,13751.171073913574,29043.033338546753,2242.0500860214233,1470.1402015686035,6852.950921058655
54,FFT_Mag_01q15000,10299.50038099289,11770.857578277588,1512.300100326538,13598.410972118378,2027.882713317871,32360.995730400085
582,iqr_6,10070.490324020386,164424.4454536438,10070.490324020386,5806.582972049713,1176.335205078125,21866.128123283386
623,abs_q99_7,10048.211082696915,8709.51131439209,38702.96431541443,10494.444338798523,3218.7328872680664,12464.303875923157
639,Moving_average_700_mean_7,10033.769949674606,7422.02286529541,17869.011202812195,34375.748175144196,6670.706569671631,5889.030838012695
525,std_first_10000_6,10004.850079536438,2817.749496459961,16837.443860054016,12400.550273895264,3945.0326232910156,16556.53684234619
341,abs_q01_3,9991.58500301838,23974.962242126465,3671.7351236343384,20635.388643741608,335.8088073730469,1503.134298324585
247,min_first_50000_2,9954.7705783844,7403.9540367126465,17607.22020339966,17669.7864484787,3807.248504638672,4723.087805747986
46,FFT_Mag_10q12500,9945.595988869667,1691.2209014892578,23793.84090900421,12697.054351329803,3057.2097702026367,13614.723948478699
214,Moving_average_1500_mean_1,9910.733783602715,17410.448265075684,3526.202202796936,10312.570333957672,6883.910194396973,14383.404899597168
70,FFT_Phz_mean17500,9873.060563087463,4857.810691833496,24918.810176849365,25506.10354423523,2404.1684226989746,4393.146896362305
53,FFT_Phz_std12500,9840.310142755508,14059.230808258057,9538.505430221558,10695.714983940125,9563.510078430176,3404.4302339553833
773,kurt_9,9783.176218986511,5137.084796905518,16668.214597702026,9783.176218986511,11873.539489746094,3965.004291534424
7,FFT_Phz_mean0,9752.41614317894,4488.263877868652,11507.133564949036,23293.886060237885,1841.488914489746,12307.510595321655
847,q01_roll_std_1000,9547.13866698742,8546.88389968872,19285.779373168945,12547.902968883514,1119.5924949645996,5170.565508842468
168,std_first_50000_1,9543.823558092117,8611.060413360596,12342.112992286682,27399.60901069641,0.0,8272.679903030396
278,med_2,9525.013058662415,10885.729209899902,817.4703025817871,53335.87617254257,4304.433685302734,20713.813113212585
738,std_first_10000_9,9473.669534921646,4621.667022705078,17002.998496055603,19520.10155105591,387.17650604248047,8135.006310462952
62,FFT_Phz_std15000,9471.964820861816,9471.964820861816,45428.94102573395,1000.6699895858765,3237.6856994628906,46157.35509490967
