,feature,median,fold0,fold1,fold2,fold3,fold4
140,q01_roll_mean_10,125.56500244140625,155.77999877929688,87.59929656982422,125.56500244140625,159.0850067138672,66.48609924316406
167,av_change_rate_roll_mean_100,90.18499755859375,0.0,90.18499755859375,236.81539916992188,214.46600341796875,0.0
35,abs_q01,89.64870071411133,0.0,0.0,305.43499755859375,179.29740142822266,199.86120223999023
144,av_change_abs_roll_mean_10,88.39399719238281,178.5271987915039,176.78799438476562,0.0,0.0,0.0
163,q05_roll_mean_100,79.80224990844727,562.9994049072266,0.0,99.15879821777344,60.445701599121094,0.0
46,std_last_10000,70.13819885253906,0.0,33186.82678985596,70.13819885253906,356.63350677490234,0.0
122,MA_1000MA_std_mean,70.02110290527344,0.0,106.13500213623047,71.29810333251953,70.02110290527344,0.0
138,max_roll_mean_10,68.09804916381836,0.0,0.0,1102.1046981811523,136.19609832763672,137.8699951171875
146,abs_max_roll_mean_10,67.6369514465332,0.0,79.44740295410156,55.826499938964844,146.4615020751953,146.677001953125
39,avg_first_50000,67.59404754638672,64.66909790039062,338.53070068359375,76.368896484375,0.0,0.0
22,count_big,67.14189910888672,0.0,67.14189910888672,89.34750366210938,87.2417984008789,0.0
93,Rmin_last_5000,64.81950378417969,320.17479705810547,129.63900756835938,0.0,0.0,0.0
156,av_change_rate_roll_std_100,64.4448471069336,157.5032958984375,64.33889770507812,64.55079650878906,0.0,0.0
60,mad_last_50000,62.94919967651367,65.03359985351562,60.86479949951172,0.0,87.089599609375,92.58180236816406
95,Imean_last_5000,61.82693958282471,98.92310333251953,0.0,0.0,318.69200134277344,100.32599639892578
9,mean_change_rate,59.43975067138672,0.0,0.0,137.02650451660156,139.31800079345703,118.87950134277344
110,Moving_average_1500_mean,58.44810104370117,0.0,73.31120300292969,58.44810104370117,73.3843002319336,0.0
173,q01_roll_std_1000,56.82674789428711,0.0,0.0,35753.315338134766,113.65349578857422,126.76089859008789
166,av_change_abs_roll_mean_100,53.30968761444092,127.55509948730469,49.82040023803711,0.0,75.3219985961914,0.0
